"SERVER";"TYPE 1";"MODEL";"MARQUE";"TYPE 2";"APP";"VSI";"Criticit?";"DEPART";"RESP";"SITE";"Powerstate";"OS EDITOR";"OS VERSION";"Creation date";"Primary IP Address";"IDRAC / ILO";"Host";"Garantie"
"USESX10";"PHYSICALSTAGO";"ProLiant DL380p Gen8";"HEWLETT PACKARD";"STAGO - ONPREM";"ESX";;"Basse";"INFRA";"GUINNEBAULT";"UNITED STATES/MT. OLIVE";"On";"VMWARE";"6.5";"01/01/1970 01:00:00";"172.20.174.130";"172.20.174.243";;"?"
"USESX11";"PHYSICALSTAGO";"ProLiant DL380p Gen8";"HEWLETT PACKARD";"STAGO - ONPREM";"ESX";;"Basse";"INFRA";"GUINNEBAULT";"UNITED STATES/PARSIPPANY";"On";"VMWARE";"6.5";"01/01/1970 01:00:00";"172.20.171.130";"172.20.171.243";;"?"
"USMSG22";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"SKYPE";;"Basse";"PROD";"INFRA";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.31.170.102";;"usesx14.us.am.stago.grp";
"USMSG23";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"SKYPE";;"Basse";"PROD";"INFRA";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.31.80.38";;"usesx14.us.am.stago.grp";
"USMSG24";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"SKYPE";;"Basse";"PROD";"INFRA";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"D?commissionn?";"Microsoft";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 01:00:00";"172.31.170.103";;"usesx13.us.am.stago.grp";
"USESX12";"PHYSICALSTAGO";"
ProLiant BL460c Gen8";"HEWLETT PACKARD";"STAGO - ONPREM";"ESX";;"Moyen";"INFRA";"GUINNEBAULT";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"VMWARE";"6.5";"01/01/1970 01:00:00";"172.20.170.130";"172.20.170.131";;"?"
"USESX13";"PHYSICALSTAGO";"
ProLiant BL460c Gen8";"HEWLETT PACKARD";"STAGO - ONPREM";"ESX";;"Moyen";"INFRA";"GUINNEBAULT";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"VMWARE";"6.5";"01/01/1970 01:00:00";"172.20.170.132";"172.20.170.133";;"?"
"USFIL01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"FILER";;"Moyen";"INFRA";"VITO";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Microsoft";"Microsoft Windows Server 2019";"01/01/1970 01:00:00";"172.20.173.9";;"usesx14.us.am.stago.grp";"?"
"USFIL03";"PHYSICALSTAGO";"HP Compaq 6200 Pro Microtower";"HEWLETT PACKARD";"STAGO - ONPREM";"FILER";;"Basse";"INFRA";"VITO";"UNITED STATES/PARSIPPANY";"On";"Microsoft";"Microsoft Windows Server 2019";"01/01/1970 01:00:00";"172.20.171.5";"?";;"?"
"USGFT01";"VMSTAGO";"VMWARE";"VMWARE";"STAGO - ONPREM";"GFI Archiver/Track-it";;"Moyen";"INFRA";"NAGUET";"UNITED STATES/DATACENTER CYXTERA NEW JERSEY (COLOCATION)";"On";"Microsoft";"Microsoft Windows Server 2019";"01/01/1970 01:00:00";"172.31.170.39";"?";"usesx15.us.am.stago.grp";
